"","Nest","maxclutch","year","site"
"739","TLM008",7,2000,"kig"
"740","TLM012",5,2000,"kig"
"741","TLM015",6,2000,"kig"
"742","TLM027",6,2000,"kig"
"743","TLM030",6,2000,"kig"
"744","TLM031",6,2000,"kig"
"745","TLM032",5,2000,"kig"
"746","TLM034",4,2000,"kig"
"747","TLM041",4,2000,"kig"
"748","TLM043",5,2000,"kig"
"749","TLM045",5,2000,"kig"
"750","TLM046",5,2000,"kig"
"751","TLM047",5,2000,"kig"
"752","TLM049",5,2000,"kig"
"753","TLM051",5,2000,"kig"
"754","TLM053",5,2000,"kig"
"755","TLM055",5,2000,"kig"
"756","TLM070",6,2000,"kig"
"757","TLM071",6,2000,"kig"
"758","TLM073",4,2000,"kig"
"759","TLM074",5,2000,"kig"
"760","TLM078",6,2000,"kig"
"761","TLM081",4,2000,"kig"
"762","TLM083",3,2000,"kig"
"763","TLM084",5,2000,"kig"
"764","TLM085",6,2000,"kig"
"765","TLM086",5,2000,"kig"
"766","TLM087",5,2000,"kig"
"767","TLM089",3,2000,"kig"
"768","TLM091",5,2000,"kig"
"769","TLM092",5,2000,"kig"
"770","TLM093",4,2000,"kig"
"771","TLM099",5,2000,"kig"
"772","TLM101",5,2000,"kig"
"773","TLM102",4,2000,"kig"
